fdc_id,amount,measure_unit,modifier,gram_weight
167910,4.0,,oz,112.0
167911,1.0,,serving,56.0
167912,1.0,,chop boneless,150.0
167912,3.0,,oz,85.0
167913,3.0,,oz,85.0
167913,1.0,,chop boneless (yield from 189g raw meat),150.0
167914,1.0,,slice cooked,8.1
167914,3.0,,oz,85.0
167915,3.0,,serving (3 oz),85.0
167915,1.0,,roast rump,2970.0
167916,3.0,,oz,85.0
167917,3.0,,oz (3 oz),85.0
167917,1.0,,roast shank,3054.0
167918,3.0,,oz (3 oz),85.0
167918,1.0,,slice,436.0
167919,1.0,,roast rump,2673.0
167919,3.0,,oz (3 oz),85.0
167920,1.0,,roast shank,3170.0
167920,1.0,,serving (3 oz),85.0
167921,1.0,,biscuit,34.0
167922,1.0,,"eclair, frozen",59.0
167923,1.0,,serving,43.0
167924,1.0,,serving,16.0
167925,6.0,,cracker 1 cracker = 6.5g,39.0
167925,1.0,,sandwich,6.5
167926,1.0,,pancake,38.0
167926,1.0,,serving (3 pancakes),144.0
167926,1.0,,oz,28.35
167927,1.0,,oz,28.35
167927,1.0,,piece,53.0
167928,1.0,,pastry,51.0
167929,1.0,,oz,28.35
167929,1.0,,muffin small,71.0
167930,1.0,,pie crust,198.0
167931,1.0,,pie crust (average weight),202.0
167932,1.0,,pie crust (average weight),229.0
167933,1.0,,cracker,4.2
167933,1.0,,serving,29.0
167933,6.0,,"Triscuits, regular size",29.0
167934,1.0,,serving,29.0
167934,16.0,,"crackers, Wheat Thins",29.0
167934,1.0,,cracker,1.8
167935,1.0,,slice (average weight of 1 slice),63.0
167936,1.0,,piece,42.0
167937,1.0,,slice,39.0
167937,1.0,,loaf,311.0
167938,1.0,,piece (1 serving),42.0
167939,1.0,,slice presliced,43.0
167939,1.0,,slice,59.0
167940,1.0,,bun,65.0
167941,1.0,,serving,30.0
167942,1.0,,serving,14.0
167943,1.0,,slice,32.0
167944,1.0,,slice,48.0
167945,1.0,,piece,57.0
167946,1.0,,bar,35.0
167947,1.0,,bar,35.0
167948,2.0,,oz,57.0
167948,1.0,,oz,28.35
167949,1.0,,oz crunchy (about 21 pieces),28.35
167949,1.0,,oz puffs (about 13 pieces),28.35
167950,1.0,,oz,28.35
167950,1.0,,cup,85.0
167950,2.0,,oz,57.0
167951,1.0,,bar (1 oz),28.0
167952,1.0,,bar,24.0
167952,1.0,,oz,28.35
167953,0.25,,cup,84.0
167953,1.0,,cup,334.0
167954,1.0,,bar (1 oz),28.0
167955,1.0,,bar (1 oz),28.0
167956,2.0,,tablespoon,34.0
167957,1.0,,serving,20.0
167958,2.0,,oz,57.0
167958,1.0,,oz,28.35
167959,1.0,,cup,8.0
167959,1.0,,oz,28.35
167960,1.0,,oz,28.35
167960,1.0,,cup,11.0
167961,1.0,,oz,28.35
167961,0.5,,oz,14.2
167962,1.0,,oz,28.35
167962,1.0,,bag (7 oz),198.0
167963,1.0,,bag (7 oz),198.0
167963,1.0,,oz,28.35
167964,10.0,,pieces,30.0
167964,1.0,,oz,28.35
167965,1.0,,oz,28.35
